,DateTime,Latitude [deg],Longitude [deg],Altitude [m],GPS Speed [km.h-1],Wheel Speed [km.h-1],Engine Speed [rpm],Wheel Acceleration [m.s-2],Fuel Rate [l.h-1],Intake Air Temperature [c],Mass Air Flow Rate [g.s-1],Intake Manifold Absolute Pressure [kpa],Barometric Pressure [kpa],Phi,Ambient Air Temperature [c],PM Conc. [µg.m-3],PN Conc. [#.cm-3],NO2 [v],NO2 Conc. [ppm],NO [v],NO Conc. [ppm],CO2 [v],CO2 Conc. [%],Temperature [c],GPS Acceleration [m.s-2],Slope [%],Fuel Rate1 [g.s-1],Fuel Rate2 [g.s-1],PM Conc. [mg.m-3],PM Rate [kg.s-1],PM Rate [g.s-1],NO2 Conc. [mg.m-3],NO2 Rate [kg.s-1],NO2 Rate [g.s-1],NO Conc. [mg.m-3],NO Rate [kg.s-1],NO Rate [g.s-1],CO2 Conc. [ppm],CO2 Conc. [mg.m-3],CO2 Rate [kg.s-1],CO2 Rate [g.s-1]
389,2019-09-05 12:10:11,45.52989,-73.5632,39.62417,2.772,3.0,706.25,-0.146311,0.9429677,38.0,2.62,44.41879,101.0,0.9241195,21.0,169.5,412118.2,0.0,0.0,0.009446,24.93,2.458608,13.42,33.6,0.4999999305555555,0.055787364870613934,0.18806966905555556,0.16470701292517007,0.1695,3.4348364142625115e-10,3.4348364142625115e-07,0.0,0.0,0.0,29.651227743468947,6.008679456097815e-08,6.008679456097815e-05,134200.0,234076.75650738055,0.0004743453492531032,0.4743453492531032
390,2019-09-05 12:10:12,45.5299,-73.56319,39.81369,7.488,0.0,1207.75,-0.4608271,1.864341,38.0,5.18,80.60821,100.0,0.9241195,21.0,148.5,359030.8,0.000378,0.04,0.012181,32.15,2.725519,14.88,33.6,0.7075000000000001,0.04685566490915727,0.371832455,0.3256421095238095,0.1485,5.949648077964266e-10,5.949648077964266e-07,0.0722179668226944,2.8934106902433056e-10,2.893410690243306e-07,37.85994733580865,1.5168576626149649e-07,0.00015168576626149648,148800.0,256972.90410572535,0.0010295611750852018,1.0295611750852018
391,2019-09-05 12:10:13,45.52992,-73.56318,39.86221,8.351999,7.0,1053.0,0.2892119,0.8997784,38.0,2.5,22.74945,101.0,0.9241195,21.0,193.3,467530.3,0.00282,0.3,0.016772,44.26,2.97138,16.22,33.6,0.7675000000000001,0.03467810309221027,0.17945580311111112,0.15716318027210885,0.1933,3.737721401500503e-10,3.737721401500503e-07,0.5470510986819099,1.0577985510903975e-09,1.0577985510903975e-06,52.64193100384821,1.017904149660612e-07,0.0001017904149660612,162200.0,282915.42403500096,0.0005470558899276839,0.547055889927684
392,2019-09-05 12:10:14,45.52993,-73.56315,39.95193,10.8,9.0,1370.25,1.041222,1.889535,38.0,5.25,54.79474,100.0,0.972279,21.0,120.7,292083.4,0.004187,0.45,0.016967,44.78,3.068181,16.75,33.6,0.7724999999999997,0.011990731860507566,0.37685725833333333,0.3472425,0.1207,4.90119112073633e-10,4.901191120736331e-07,0.8124521267553121,3.29907468904431e-09,3.2990746890443103e-06,52.73307750225542,2.141299844433761e-07,0.0002141299844433761,167500.0,289267.21396309807,0.0011746096939486928,1.1746096939486927
393,2019-09-05 12:10:15,45.52993,-73.5631,40.02365,13.824,11.0,1692.0,0.5662039,2.541684,38.0,7.43,59.59324,101.0,0.998997,21.0,153.9,364056.6,0.006922,0.74,0.013548,35.76,3.07873,16.81,33.6,1.0375000694444445,-0.0003312782416441812,0.5069247533333333,0.504935218367347,0.1539,8.844280300100549e-10,8.844280300100549e-07,1.3493927100820449,7.7546506581403e-09,7.7546506581403e-06,42.532206342015634,2.44422842540936e-07,0.000244422842540936,168100.0,293206.4289783209,0.0016849901518361237,1.6849901518361237
394,2019-09-05 12:10:16,45.52991,-73.56304,39.84631,18.612,11.0,2012.5,0.2750206,3.84207,38.0,11.54,74.95721,100.0,0.998997,21.0,201.4,481980.8,0.007997,0.85,0.011009,29.05,3.078828,16.81,33.6,1.1774999999999998,-0.0011254404270807622,0.7662795166666667,0.784246624489796,0.2014,1.797630133807719e-09,1.797630133807719e-06,1.5346317949822559,1.369761846553889e-08,1.369761846553889e-05,34.20937698616615,3.053416431435976e-07,0.0003053416431435976,168100.0,290303.39502804057,0.0025911525861424616,2.591152586142462
395,2019-09-05 12:10:17,45.52989,-73.56298,39.63354,23.292,17.0,1665.5,0.6247545,3.222811,38.0,9.68,52.86247,101.0,0.998997,21.0,274.2,656070.0,0.008974,0.96,0.010227,26.99,3.079805,16.81,33.5,0.8650000000000001,0.00634043036896442,0.6427717494444445,0.6578429224489796,0.2742,2.052947637094903e-09,2.052947637094903e-06,1.7511346621167883,1.3110823365527503e-08,1.3110823365527503e-05,32.111822773157755,2.404226502004541e-07,0.00024042265020045412,168100.0,293302.0917610219,0.0021959658506046035,2.1959658506046034
396,2019-09-05 12:10:18,45.52986,-73.5629,39.75128,27.756,23.0,1427.25,1.534188,3.582381,38.0,10.76,71.00282,101.0,0.998997,21.0,145.1,344646.9,0.00956,1.02,0.007883,20.8,3.079707,16.81,33.6,0.555,0.017052163020499965,0.7144859883333333,0.7312386204081632,0.1451,1.2075767654110916e-09,1.2075767654110915e-06,1.859973735518494,1.5479400877236442e-08,1.547940087723644e-05,24.7390909371903,2.0588801800925646e-07,0.00020588801800925646,168100.0,293206.4289783209,0.002440174163358909,2.440174163358909
397,2019-09-05 12:10:19,45.52982,-73.56282,38.76767,26.28,26.0,1104.5,1.311474,0.9288887,38.0,2.79,21.48385,101.0,0.999424,21.0,250.7,601596.5,0.009364,1.0,0.005734,15.13,3.080391,16.81,33.7,0.3799999999999998,0.024137406046679175,0.18526169072222223,0.18968659591836734,0.2507,5.409954366153608e-10,5.409954366153608e-07,1.8229091061392637,3.933727593880847e-09,3.933727593880847e-06,17.989442499986325,3.882012883824105e-08,3.882012883824105e-05,168100.0,293110.8285776108,0.0006325154395015347,0.6325154395015348
398,2019-09-05 12:10:20,45.52979,-73.56274,39.2771,26.604,26.0,959.25,0.4020401,0.7687513,37.0,2.31,22.98551,101.0,0.998997,21.0,150.8,361862.3,0.00829,0.88,0.004659,12.3,3.079609,16.81,33.7,0.2825000000000001,0.0317259648452791,0.15332317594444445,0.15698524285714285,0.15080000000000002,2.6943151055766115e-10,2.6943151055766116e-07,1.604160013402552,2.866122384530819e-09,2.866122384530819e-06,14.624596348303488,2.612948995636249e-08,2.612948995636249e-05,168100.0,293110.8285776108,0.0005236955789421309,0.5236955789421309
